# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	62556
#@/user_id	3341f95e-2102-4b54-a91e-f7eb6dfaf9d9
bo fang shi pin 	播放視頻	c=1 d=1 t=30513
bo he 	薄荷	c=3 d=1 t=51781
bo kai 	剝開	c=1 d=1 t=48691
bo ke 	博客	c=3 d=1 t=43047
bo ke 	播客	c=2 d=1 t=25827
bo li 	玻璃	c=6 d=1.95123 t=31168
bo li bei 	玻璃杯	c=2 d=1.04036 t=675
bo shi 	博士	c=3 d=1.97045 t=39658
bo si mao 	波斯貓	c=1 d=1 t=14218
bo wu guan 	博物館	c=2 d=1.97045 t=36109
bu 	不	c=216 d=1.2141 t=62288
bu 	布	c=6 d=1.00741 t=53230
bu 	補	c=6 d=1 t=24116
bu 	部	c=4 d=1.58172 t=3288
bu an quan 	不安全	c=1 d=0.1 t=39160
bu an quan ya 	不安全呀	c=1 d=1 t=39161
bu bao 	不包	c=1 d=1 t=31229
bu bao cuo 	不報錯	c=1 d=1 t=58151
bu bao kuo 	不包括	c=1 d=1 t=32775
bu bei 	不被	c=1 d=1 t=20434
bu bi yao 	不必要	c=1 d=1 t=58899
bu bian 	不變	c=2 d=1 t=52978
bu bu 	補補	c=1 d=1 t=48856
bu cai 	不採	c=1 d=1 t=17794
bu cang 	補倉	c=1 d=1 t=8178
bu cha 	不差	c=0 d=0.1 t=37794
bu cha shi er 	不差事兒	c=1 d=1 t=37795
bu cheng 	不成	c=1 d=1 t=47620
bu cheng gong 	不成功	c=2 d=1.00377 t=59266
bu chi 	不吃	c=6 d=1 t=61525
